timestamp,ped_id,x,y
3120,153,14.4576902406,2.56487686752
3130,153,13.9500483962,2.63504284864
3140,153,13.4426170169,2.70520882975
3150,153,12.9269774983,2.77680676967
3160,153,12.3387275169,2.86105367896
3170,153,11.7506880006,2.94530058826
3180,153,11.1626484843,3.02954749756
3190,153,10.6049159438,3.14816141802
3200,153,10.0602322401,3.28157224606
3210,153,9.51554853639,3.4149830741
3220,153,8.97717878597,3.56963462431
3230,153,8.45417298855,3.77416607267
3240,153,7.93095672602,3.97869752102
3250,153,7.40774046349,4.18346762918
3260,153,6.93377303661,4.34122175679
3270,153,6.4722230512,4.48752021401
3280,153,6.01046260069,4.63381867124
3290,153,5.56217191718,4.78727692245
3300,153,5.11935332653,4.94359909126
3310,153,4.67674520099,5.09992126008
3320,153,4.28401730643,5.19896507696
3330,153,3.90370685333,5.28368930586
3340,153,3.52360686535,5.36841353475
3350,153,3.20180571273,5.40230322631
3360,153,2.90504990816,5.4144748761
3370,153,2.60808363848,5.42664652588
3380,153,2.31132783391,5.43905683547
3390,153,1.98489644888,5.40516714391
3400,153,1.65109878501,5.36006044176
3410,153,1.31730112115,5.31471507982
3420,153,0.98329299217,5.26936971787
3430,153,0.649495328304,5.22426301573
3440,153,0.315697664438,5.17891765378
